ED,POLL NO.,URBAN,CAPLAN,HAITAS,HYNES,KARGIANNAKIS,KENNEDY,KIDD,SIMMONS,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
DON VALLEY EAST,,,,,,,,,,,,,,,,,,,,,,,
016,104s, ,46,11,10,1,35,0,0,,,,,,,,,0,0,0,103,145,"Toronto,Donway Place"
016,105, ,54,5,10,1,25,0,0,,,,,,,,,0,1,0,96,255,"Toronto,Don Mills Middle School"
016,106s, ,62,3,7,2,37,0,0,,,,,,,,,0,2,1,114,184,"Toronto,Donway Place"
016,107, ,67,14,13,0,26,2,0,,,,,,,,,0,0,0,122,230,"Toronto,Don Mills Middle School"
016,108, ,122,32,30,4,87,1,1,,,,,,,,,1,1,0,279,505,"Toronto,Greenland Public School"
016,109, ,147,20,16,6,61,0,0,,,,,,,,,1,0,0,251,461,"Toronto,Victoria Village Public School"
016,110, ,135,12,15,7,75,2,1,,,,,,,,,0,3,0,250,424,"Toronto,Victoria Village Public School"
016,111, ,39,5,14,0,22,0,0,,,,,,,,,0,0,0,80,268,"Toronto,Victoria Village Public School"
016,112, ,53,11,15,1,17,0,0,,,,,,,,,0,1,0,98,261,"Toronto,Emmanuel Lutheran Manor"
016,113, ,35,9,18,2,20,0,0,,,,,,,,,0,0,0,84,167,"Toronto,Greenland Public School"
016,114, ,66,12,21,2,37,0,3,,,,,,,,,0,0,0,141,294,"Toronto,Greenland Public School"
